MM/YYYY,affinity,agent,arrangement,association,auditory_communication,biological_group,body_of_water,business_relation,catalyst,catch,change,character,charm,circuit,citizenry,cognition,collection,commemorative,community,comparison,connection,control,curio,danger,decrease,definite_quantity,degeneration,depth,destiny,development,discard,display,document,domain,draw,economic_process,edition,engine,event,execution,expressive_style,field,film,finding,floater,fluid,foundation,function,fundamental_quantity,geological_formation,group,growth,head,human_process,ice,increase,indefinite_quantity,indication,inheritance,interrelation,intersection,interval,keepsake,kingdom,land,language,linguistic_relation,location,logical_relation,magnetization,magnitude_relation,mathematical_relation,message,moon,motivation,multitude,natural_process,nature,necessity,neighbor,operation,operator,opposition,organic_process,ownership,part,people,person,personality,phenomenon,photography,point,population,position,possession,power,probability,processing,proof,property,psychic_communication,publication,quality,quantum,race,radical,reciprocality,relationship,relative_quantity,remains,reservoir,residue,ribbon,sediment,series,shape,sign,signal,snake,social_group,social_relation,solid,solution,space,state,stuff,subject,substance,system,system_of_measurement,thing,time,time_interval,time_unit,trait,unit,value,variable,variation,vegetable_matter,visual_communication,vital_principle,voice,volume,wall,whole,world,written_communication
1998/03,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,15,6,0,0,3,3,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,3,0,0,0,0,15,0,15,0,0,0,0,3,6,12,0,0,0,0,0,0,0,0,3,12,0,0,3,0,15,0,0,3,3,0,3,0,3,0,0,3,0,12,15,12,0,3,0,3,0,3,12,3,0,3,0,9,0,9,12,0,0,0,0,0,6,0,0,0,0,0,3,3,6,3,0,12,0,0,3,3,15,3,0,6,9,6,6,3,3,6,0,0,3,0,0,0,0,0,3,0,0,15,0,12
1998/04,0,0,3,0,12,0,0,0,0,0,3,0,0,0,0,12,6,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,18,0,6,0,0,0,0,0,0,0,12,0,18,0,3,0,0,0,9,6,0,0,0,0,0,0,0,0,0,12,0,0,6,0,18,0,6,6,3,0,0,0,3,0,0,0,0,12,15,15,0,3,0,9,0,6,12,3,0,0,0,15,0,9,12,0,0,0,0,3,6,0,0,0,0,0,6,0,3,0,0,15,0,6,0,3,12,0,0,9,9,3,9,6,0,9,0,9,6,0,0,0,3,0,0,0,0,18,0,12
1998/05,0,3,3,3,12,0,0,3,0,0,12,3,0,0,0,27,9,0,0,0,6,0,0,3,0,15,0,0,0,0,0,0,21,0,0,0,0,0,42,0,3,0,0,0,0,9,0,0,24,3,36,3,0,0,0,3,9,21,0,0,0,0,0,0,6,0,3,30,0,0,0,0,36,0,0,9,0,0,6,0,3,0,0,3,0,27,30,27,3,6,0,18,0,15,21,0,0,3,0,18,0,9,18,0,0,0,0,0,9,0,0,0,0,0,0,9,9,6,0,21,0,3,0,3,27,3,0,21,12,12,15,6,0,6,0,9,6,0,0,0,3,0,3,0,0,30,6,27
1998/06,0,0,3,3,12,0,6,6,0,0,12,6,0,0,0,27,9,0,0,0,6,0,0,6,0,24,0,0,0,3,0,6,21,0,0,0,0,0,36,0,3,0,0,0,0,6,0,0,12,3,36,0,0,0,0,3,9,15,0,0,0,0,0,0,0,0,0,33,0,0,0,0,36,0,3,9,0,0,12,0,3,0,0,3,0,21,27,27,0,6,0,12,3,18,21,0,0,6,3,15,0,6,18,0,3,0,0,0,3,0,0,0,0,0,3,9,0,9,0,18,0,6,0,0,30,0,0,15,18,3,24,9,3,9,0,12,3,0,0,0,15,0,0,0,0,36,3,33
1998/07,0,0,3,0,9,0,0,0,0,3,18,0,0,0,0,33,9,0,0,0,3,0,0,3,0,18,0,0,0,0,0,0,18,0,0,0,0,6,30,0,6,0,0,0,0,0,0,0,15,6,30,6,0,0,0,3,15,18,0,0,0,0,0,0,3,0,0,27,0,0,6,0,30,0,3,6,0,3,6,0,3,0,0,6,0,27,30,33,0,6,0,21,0,18,21,3,0,0,3,21,0,21,9,0,0,0,0,0,6,0,0,0,0,0,3,9,6,6,0,21,0,0,0,0,24,3,0,12,15,3,18,12,3,6,3,3,6,0,0,0,9,0,0,3,3,30,9,24
1998/08,0,6,3,0,21,0,3,6,0,3,15,0,0,0,0,36,12,0,3,0,6,15,0,3,0,15,0,0,0,0,0,0,27,3,0,0,0,3,39,0,0,6,0,0,0,6,0,6,21,3,36,0,3,0,0,12,27,12,0,0,0,0,0,0,3,6,0,39,0,0,9,3,39,0,6,9,3,0,6,0,3,0,3,3,0,36,33,33,0,12,0,21,0,27,33,9,0,3,3,33,0,12,24,0,0,3,0,0,12,3,0,0,0,0,6,6,6,0,0,36,0,0,0,3,39,0,0,27,21,6,21,9,3,6,0,15,9,0,0,0,3,0,0,0,0,39,12,30
1998/09,0,12,3,0,27,0,3,9,0,3,33,3,0,0,0,63,21,0,6,0,9,9,0,21,3,39,0,0,0,3,3,0,51,3,0,0,3,12,72,3,15,24,0,0,0,0,3,0,30,3,60,0,9,0,0,15,36,12,0,0,0,0,0,0,6,3,0,66,0,0,6,0,60,0,3,6,3,3,6,0,12,3,0,0,0,57,54,66,0,15,0,24,0,54,51,6,6,6,3,51,0,33,42,0,0,0,0,0,18,0,0,0,0,0,9,18,0,15,0,51,3,15,0,6,51,0,0,39,30,12,30,33,3,15,3,15,15,0,0,0,15,0,0,6,0,72,9,54
1998/10,0,18,3,0,24,12,0,3,0,0,18,9,0,0,0,24,12,0,0,0,6,9,0,0,0,21,0,0,0,0,0,0,18,3,3,0,0,0,33,0,9,0,0,0,0,3,0,9,15,3,33,3,0,0,0,3,6,18,0,0,0,0,0,0,0,0,0,24,0,0,6,6,33,0,3,12,0,12,3,0,3,0,0,6,0,24,18,24,0,6,0,21,0,12,15,6,0,0,0,15,0,21,24,0,0,0,0,0,0,0,0,0,0,3,0,3,0,15,0,21,0,0,0,0,24,0,0,21,18,6,3,12,3,6,12,3,0,0,0,0,6,0,0,0,0,30,3,27
1998/11,0,3,3,0,15,0,0,3,0,0,12,0,0,0,0,36,9,0,0,0,6,3,0,0,3,18,0,0,3,0,0,0,18,3,0,0,0,0,42,0,6,3,0,0,0,0,0,0,21,3,39,0,9,0,0,3,21,15,0,0,0,0,0,0,0,3,0,18,0,0,3,0,36,0,3,0,3,3,0,0,6,0,0,6,3,36,9,36,0,9,0,9,0,24,24,0,0,3,0,24,0,6,6,0,0,6,0,0,9,0,0,0,0,0,0,6,6,3,0,33,0,3,6,0,30,0,0,21,18,0,21,18,0,9,3,6,3,0,0,0,6,3,0,0,3,42,0,30
1998/12,3,3,0,0,21,0,6,3,0,0,12,3,0,0,0,27,12,0,3,3,9,6,0,6,3,9,0,0,0,0,0,0,18,0,3,0,0,6,36,0,6,6,0,3,0,0,3,0,27,12,27,0,0,0,3,12,15,12,0,0,0,0,0,0,0,0,0,21,0,0,3,0,27,0,6,9,0,3,6,0,6,0,0,0,0,27,15,36,0,12,0,18,0,15,21,6,0,0,3,30,0,12,21,0,0,0,0,0,6,0,0,0,0,0,3,15,0,6,0,24,0,6,0,3,33,0,0,15,18,6,21,6,6,12,3,6,9,0,0,0,0,0,0,0,0,30,9,24
1999/01,0,6,3,0,30,0,0,0,0,3,30,0,0,0,0,48,15,0,3,0,21,15,0,6,0,15,0,0,0,0,0,6,27,0,0,0,0,9,54,0,12,21,0,0,0,0,3,3,36,0,39,6,0,0,0,15,12,18,0,0,0,0,0,0,0,3,0,42,0,0,12,3,54,0,6,6,3,0,9,0,0,0,0,6,0,51,33,54,6,15,0,15,0,39,33,9,0,0,0,36,0,39,27,0,0,0,0,0,6,3,0,0,0,0,3,6,6,9,0,30,0,9,0,3,45,3,0,39,30,12,24,39,9,12,3,12,12,0,0,0,12,0,9,0,6,54,3,48
1999/02,0,21,18,0,30,0,3,0,0,6,72,0,0,0,0,102,75,0,0,0,6,33,0,0,0,93,0,0,0,0,0,3,42,0,0,0,0,6,120,0,12,21,0,0,0,0,0,0,90,15,120,0,6,0,0,33,69,57,0,0,0,6,0,0,6,0,0,99,0,0,9,0,120,0,6,33,6,0,45,12,27,0,0,0,0,105,60,114,27,24,0,48,0,84,108,12,0,3,0,99,0,45,75,6,0,12,0,0,36,0,0,0,0,0,6,33,12,3,0,102,0,21,6,15,105,3,0,93,42,9,96,42,30,24,6,9,36,0,0,0,9,0,0,12,0,120,21,96
1999/03,0,6,9,3,48,6,12,3,0,3,72,18,0,0,0,111,42,0,6,0,27,9,0,18,12,72,0,0,0,9,0,6,93,6,3,3,3,3,132,0,15,6,0,6,0,6,9,6,78,12,99,3,18,0,0,27,69,45,6,0,0,0,0,0,21,12,0,72,0,0,12,0,108,0,18,12,0,12,21,0,15,9,3,33,0,81,78,126,9,39,0,45,3,63,108,18,0,9,12,66,0,54,108,0,0,3,0,9,21,3,0,0,0,0,6,30,12,36,0,81,15,9,0,15,111,0,0,63,84,9,48,57,21,24,24,36,33,0,0,0,12,0,3,12,6,132,39,108
1999/04,0,3,0,0,12,0,3,0,0,6,33,6,0,0,0,51,9,0,6,0,18,3,0,15,0,48,0,0,0,0,0,0,48,6,0,0,6,0,84,0,12,9,0,0,0,9,0,0,42,9,51,0,0,0,0,9,36,30,6,0,0,0,0,0,3,0,0,63,0,0,3,0,54,0,6,6,0,0,3,0,9,0,0,9,6,54,39,78,0,3,0,30,0,42,45,3,0,3,0,45,0,27,42,0,0,0,0,0,12,0,0,0,0,0,6,15,3,24,0,33,6,3,3,0,48,0,0,42,33,9,27,24,9,9,3,6,3,0,0,0,3,0,0,0,0,60,3,57
1999/05,0,12,15,0,15,0,3,6,3,3,15,6,0,0,0,39,15,0,0,0,12,3,0,3,3,27,0,0,0,3,0,0,24,3,0,3,9,0,42,0,6,3,0,0,0,3,0,3,21,12,36,3,6,0,0,3,24,24,0,0,0,0,0,0,0,0,0,30,0,0,3,3,33,0,6,6,0,3,9,0,9,0,0,3,0,21,24,39,0,15,0,24,3,18,30,3,0,0,3,21,0,21,30,0,3,3,0,0,12,0,0,0,0,0,6,12,3,9,0,33,0,6,0,0,24,3,0,24,18,12,18,15,6,9,3,24,6,0,0,0,3,0,0,3,3,39,6,30
1999/06,0,6,3,0,15,0,3,0,0,3,15,6,0,0,0,39,15,0,0,0,9,6,0,3,0,24,0,0,0,3,0,0,30,3,0,3,0,3,45,0,9,0,0,0,0,6,0,3,24,3,36,6,6,0,0,9,24,18,0,0,0,0,0,0,0,0,0,33,0,0,6,3,33,0,9,6,6,3,12,0,0,0,0,6,0,24,30,33,0,21,0,21,0,27,24,9,0,3,3,24,0,21,27,0,0,3,0,3,9,0,0,0,0,0,3,12,3,9,0,36,0,9,0,6,36,3,0,30,27,6,12,18,6,3,6,9,9,0,0,0,6,0,0,0,3,48,3,33
1999/07,0,3,12,6,18,0,6,0,0,6,24,15,0,0,0,39,21,0,3,0,18,9,0,21,0,24,0,0,0,9,0,0,30,3,0,9,0,0,51,0,9,6,0,0,0,0,0,3,33,6,48,3,21,0,0,9,18,30,0,0,0,0,0,0,3,0,3,36,0,0,15,3,48,0,6,12,0,0,15,0,0,3,0,3,0,33,33,42,0,27,0,24,3,36,42,12,0,0,12,30,0,24,36,0,0,3,0,3,12,0,0,0,0,0,9,21,9,15,0,36,0,12,3,0,42,0,0,24,30,15,24,24,9,12,0,21,9,0,0,0,12,0,0,0,9,42,24,36
1999/08,0,21,18,0,51,0,3,0,0,3,84,24,0,0,0,108,42,0,0,0,27,18,0,6,3,60,0,0,0,21,0,3,87,3,0,0,0,3,126,0,21,0,9,3,0,6,0,6,90,6,105,0,18,0,0,12,51,57,3,0,0,0,0,0,6,3,0,105,0,0,12,6,123,0,3,18,6,9,15,0,3,6,0,21,0,93,81,114,0,48,0,69,3,60,93,30,0,12,12,87,0,57,87,0,3,0,0,3,12,0,0,0,0,0,21,33,12,30,0,81,0,33,12,15,87,3,0,66,63,33,66,51,27,36,15,33,24,0,0,0,21,0,3,9,0,120,12,96
1999/09,0,12,21,3,51,0,15,0,0,15,84,24,0,0,0,108,54,0,6,0,21,30,0,3,3,81,0,6,0,9,0,3,78,15,0,6,3,6,123,0,21,6,0,3,0,6,0,0,90,12,123,0,12,3,0,21,51,54,0,0,0,0,0,0,3,0,0,99,0,0,18,0,120,0,9,30,12,6,18,0,9,0,0,18,3,108,78,123,0,36,0,42,0,75,105,21,0,15,3,108,0,66,96,0,3,0,0,6,39,0,0,0,0,0,6,39,12,33,6,87,0,30,6,15,114,3,0,69,63,30,81,39,27,48,9,30,42,0,0,0,24,6,3,21,0,129,12,90
1999/10,0,6,9,6,18,0,9,0,0,0,33,21,0,0,0,72,30,0,3,0,9,9,0,9,0,30,0,0,0,6,0,6,33,0,0,0,3,3,75,0,3,3,0,0,0,0,6,0,54,3,72,0,0,0,0,6,33,30,0,0,0,0,0,0,0,3,0,51,0,0,3,0,75,0,6,9,3,0,12,0,21,0,0,12,0,54,57,57,0,33,0,33,3,51,66,6,3,3,6,48,0,45,42,0,3,0,0,0,18,0,0,0,0,0,15,12,18,27,0,57,0,6,6,3,63,12,0,48,42,9,48,45,6,15,3,3,9,0,0,0,9,0,0,0,3,72,6,51
1999/11,0,3,15,0,39,0,3,0,0,24,60,6,0,0,0,96,18,0,0,0,6,24,0,3,9,72,0,0,0,3,0,21,72,0,0,0,0,0,102,0,6,6,3,0,0,12,0,6,66,3,105,3,9,0,0,18,51,63,6,0,0,0,0,0,6,3,0,75,0,0,6,3,96,0,6,18,18,6,18,0,12,0,0,3,0,99,96,75,0,39,0,36,0,45,78,12,0,9,12,84,0,45,81,0,6,0,0,3,12,0,0,0,0,0,24,33,12,12,0,60,0,21,9,9,90,3,0,90,45,12,45,63,9,21,9,42,27,0,0,0,42,0,3,0,3,102,18,84
1999/12,0,18,6,3,18,0,3,3,0,12,33,9,0,0,0,75,24,0,3,0,30,9,0,6,6,36,0,3,0,3,0,6,39,0,3,3,3,0,78,0,12,0,0,0,0,12,3,3,48,15,66,3,3,0,0,9,27,33,0,0,0,0,0,0,6,3,3,45,0,0,12,3,84,0,3,15,0,3,24,0,9,0,0,12,0,57,45,63,0,33,3,33,0,27,57,9,0,3,3,42,0,42,39,0,0,0,0,0,15,3,0,0,0,3,9,27,15,15,0,60,0,15,9,9,72,0,0,36,48,9,39,30,6,30,6,27,9,0,0,0,18,0,0,3,6,87,15,54
2000/01,0,3,3,6,9,0,3,3,0,12,33,6,0,0,0,72,15,0,0,0,24,6,0,12,0,54,0,0,0,3,0,3,48,3,0,0,0,0,72,0,6,15,0,15,0,6,6,3,57,15,69,3,9,0,3,3,42,39,0,0,0,0,0,0,6,6,0,60,0,0,15,0,69,0,0,9,3,6,9,0,9,0,0,12,0,69,60,57,0,30,0,42,0,48,66,3,0,3,3,51,0,36,63,0,0,0,0,0,9,0,0,0,0,3,6,24,6,12,0,57,0,6,6,9,72,0,0,48,39,21,24,18,9,39,6,21,6,0,0,0,3,0,0,3,0,75,6,57
2000/02,0,6,3,9,39,0,18,0,0,6,51,3,0,0,0,81,27,0,0,0,12,3,0,12,3,69,0,0,3,6,0,0,72,0,0,3,6,3,90,0,6,9,0,0,0,3,0,0,57,9,90,9,9,0,0,9,24,12,0,0,0,0,0,0,3,0,0,75,0,0,12,0,90,0,9,9,0,6,9,0,0,0,0,12,0,63,60,87,0,18,0,30,3,36,57,9,0,6,3,45,0,30,54,0,3,0,0,0,9,0,0,0,0,0,3,15,3,9,0,69,0,15,0,3,84,0,0,39,33,9,42,21,6,18,9,24,21,0,0,0,24,0,3,0,9,90,15,78
2000/03,0,6,9,30,45,0,12,0,0,0,105,6,0,0,0,129,69,0,0,0,27,18,0,15,12,108,0,0,0,6,0,3,75,0,0,3,0,0,138,0,15,0,0,0,0,6,9,0,120,15,126,15,3,0,0,63,57,33,0,0,0,0,0,0,6,6,0,69,0,0,39,0,141,0,3,24,12,0,21,0,3,0,0,27,0,105,87,123,0,54,0,51,3,96,96,18,0,27,18,105,0,72,90,0,30,3,0,6,18,0,0,0,0,0,9,30,6,6,0,99,0,15,3,6,105,0,0,45,78,6,57,51,6,36,9,51,9,0,0,0,21,0,0,3,9,144,36,105
2000/04,0,12,12,6,87,3,15,9,0,3,108,21,0,0,0,183,102,0,3,0,36,48,0,15,3,138,0,0,0,18,0,3,111,3,0,15,0,12,195,0,27,0,0,9,0,0,3,0,129,27,183,0,18,0,0,36,111,72,9,0,0,0,0,0,15,6,0,126,0,0,36,0,192,0,39,39,27,3,48,0,33,0,0,30,0,153,147,183,0,72,0,45,3,135,129,39,0,21,66,147,0,78,144,0,3,0,0,12,54,3,0,0,0,0,12,60,21,24,0,141,3,27,6,36,162,0,0,117,129,36,117,90,48,39,36,69,9,0,0,0,39,0,3,0,6,210,42,150
2000/05,0,15,3,12,63,6,3,3,0,0,90,18,0,0,0,144,63,0,0,0,27,27,0,12,12,93,0,0,3,9,0,0,99,0,0,9,0,21,150,0,33,9,6,3,0,9,21,9,108,24,150,9,15,0,0,21,60,57,0,0,0,9,0,0,12,9,0,111,0,0,51,9,153,0,15,42,9,3,33,0,15,9,0,15,12,129,117,144,0,72,0,72,0,87,105,30,0,18,33,108,0,93,99,0,0,0,0,12,21,0,0,0,0,0,15,30,15,30,0,102,0,24,9,15,123,15,0,84,90,30,87,72,18,36,24,39,18,0,0,0,30,0,0,6,0,165,39,126
2000/06,0,6,0,0,30,3,3,0,0,0,45,21,0,0,0,99,69,0,0,0,12,18,0,30,3,75,0,0,3,3,0,0,75,6,0,3,0,12,108,0,27,9,0,0,0,3,0,0,66,18,99,0,3,0,0,3,33,63,0,0,0,0,0,0,9,9,0,93,0,0,9,0,111,0,6,51,0,27,30,0,12,0,0,0,3,90,69,84,0,21,0,54,0,42,87,27,0,15,12,75,0,45,87,0,0,0,0,0,27,0,0,0,0,0,3,12,6,27,0,90,0,15,9,12,108,0,0,63,78,12,72,63,12,21,33,30,33,0,0,0,15,0,12,3,0,126,18,93
